,original_firstorder_Skewness,wavelet-LLL_firstorder_RootMeanSquared,group
1,-0.84799743,0.217195802,HOPX-positive
2,-0.488169924,0.12366858,HOPX-positive
3,-0.480581983,1.176775245,HOPX-negative
4,1.641674471,-2.231725702,HOPX-positive
5,-1.633287024,0.840329745,HOPX-positive
6,1.411571634,-0.090993548,HOPX-positive
7,-0.509263751,0.91437243,HOPX-negative
8,1.772664162,-1.511859865,HOPX-positive
9,-1.410829807,0.706950103,HOPX-positive
10,0.855986626,-1.30993717,HOPX-positive
11,1.189460089,-1.063793085,HOPX-positive
12,-0.166565098,-0.212105587,HOPX-positive
13,-2.603909469,1.585799991,HOPX-negative
14,-2.027331928,1.837494169,HOPX-positive
15,-0.869149462,0.29321148,HOPX-negative
16,-1.101139146,0.893130966,HOPX-negative
17,0.581831585,0.056871504,HOPX-positive
18,-0.155433758,-0.054408278,HOPX-positive
19,0.589153669,-0.996171095,HOPX-negative
20,-1.279134472,1.081235287,HOPX-negative
21,0.670651086,-0.949059545,HOPX-negative
22,-0.467188749,0.574775956,HOPX-negative
23,1.063803316,-1.877957989,HOPX-positive
24,-0.112825313,0.810737533,HOPX-negative
25,-0.34108663,0.875070254,HOPX-positive
26,0.5126877,0.232626664,HOPX-negative
27,-1.268005303,0.277376422,HOPX-positive
28,-0.503917155,0.566142294,HOPX-positive
29,-2.13242356,1.564748134,HOPX-positive
30,0.018126343,-0.170663439,HOPX-negative
31,0.441131761,-0.124108614,HOPX-positive
32,0.674467273,-0.737575177,HOPX-positive
33,0.661908693,-0.485398117,HOPX-positive
34,0.441206466,-0.58186046,HOPX-negative
35,-0.531632012,1.039943471,HOPX-positive
36,-0.416945082,0.5101652,HOPX-positive
37,-0.288148332,0.627770482,HOPX-positive
38,-2.782570256,0.391216492,HOPX-negative
39,-0.385478813,0.500728577,HOPX-positive
40,-1.574371669,1.313982226,HOPX-positive
41,-0.929205639,1.40041913,HOPX-positive
42,-0.322871523,1.023504238,HOPX-positive
43,-0.002263237,0.421155402,HOPX-positive
44,0.212797766,0.23504502,HOPX-positive
45,0.994686525,-1.120321681,HOPX-positive
46,0.468705183,-0.567498819,HOPX-positive
47,0.275681027,0.42632981,HOPX-positive
48,0.494410888,-0.505748983,HOPX-positive
49,1.136715385,-0.821174495,HOPX-positive
50,0.588962416,-0.200306312,HOPX-positive
51,-0.244096547,0.169062065,HOPX-positive
52,0.900217798,-0.89883812,HOPX-positive
53,-0.024390508,0.454098054,HOPX-negative
54,0.150094897,0.394319838,HOPX-positive
55,0.404472731,-0.042779935,HOPX-positive
56,0.211191609,-0.475876428,HOPX-positive
57,-0.278050706,0.302151126,HOPX-positive
58,1.303749546,-0.659957745,HOPX-positive
59,-0.328912182,-0.195551407,HOPX-positive
60,0.241527328,0.771275595,HOPX-positive
61,0.898280887,-1.220440945,HOPX-positive
62,-0.681964424,-0.034191148,HOPX-positive
63,0.195316806,-0.087935579,HOPX-positive
64,0.392727746,-0.50176541,HOPX-negative
65,0.294577756,-0.767536447,HOPX-positive
66,-0.539478345,1.163795119,HOPX-positive
67,-1.652014131,1.393656125,HOPX-negative
68,0.88078657,-0.359816949,HOPX-positive
69,0.092413018,0.270647069,HOPX-positive
70,0.309211407,0.256196463,HOPX-positive
71,0.923141739,-0.673506088,HOPX-positive
72,-0.060188498,0.417836532,HOPX-positive
73,1.319048019,-1.540750786,HOPX-positive
74,0.779134842,-0.195710229,HOPX-positive
75,1.148288013,-1.82505409,HOPX-positive
76,-0.617983096,1.574569292,HOPX-negative
77,1.624631072,-1.247643108,HOPX-positive
78,1.813903105,-3.150160758,HOPX-positive
79,0.352520347,-0.56844057,HOPX-positive
80,0.905638983,-0.815364239,HOPX-positive
81,1.278879748,-1.105573145,HOPX-positive
82,1.376372396,-0.710815015,HOPX-positive
83,0.682942619,-0.504885056,HOPX-positive
84,0.404837525,0.063359071,HOPX-positive
85,1.093388667,-2.630032722,HOPX-positive
86,1.619617766,-3.462604371,HOPX-positive
87,-0.200897838,0.46129748,HOPX-positive
88,0.545242896,-0.106403405,HOPX-positive
89,-0.80549585,-0.018769732,HOPX-positive
90,0.256853897,-0.405750129,HOPX-positive
91,0.994531796,-0.827039129,HOPX-positive
92,-0.835172469,1.053009785,HOPX-negative
